Selling_Price,Car_Name,Year,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Present_Price
3.35,ritz,2014,27000,Petrol,Dealer,Manual,0,5.59
4.75,sx4,2013,43000,Diesel,Dealer,Manual,0,9.54
7.25,ciaz,2017,6900,Petrol,Dealer,Manual,0,9.85
2.85,wagon r,2011,5200,Petrol,Dealer,Manual,0,4.15
4.6,swift,2014,42450,Diesel,Dealer,Manual,0,6.87
9.25,vitara brezza,2018,2071,Diesel,Dealer,Manual,0,9.83
6.75,ciaz,2015,18796,Petrol,Dealer,Manual,0,8.12
6.5,s cross,2015,33429,Diesel,Dealer,Manual,0,8.61
8.75,ciaz,2016,20273,Diesel,Dealer,Manual,0,8.89
7.45,ciaz,2015,42367,Diesel,Dealer,Manual,0,8.92
2.85,alto 800,2017,2135,Petrol,Dealer,Manual,0,3.6
6.85,ciaz,2015,51000,Diesel,Dealer,Manual,,10.38
7.5,ciaz,2015,15000,Petrol,Dealer,Automatic,0,9.94
6.1,ertiga,2015,26000,Petrol,Dealer,Manual,0,7.71
2.25,dzire,2009,77427,Petrol,Dealer,Manual,0,7.21
7.75,ertiga,2016,43000,Diesel,Dealer,Manual,0,10.79
7.25,ertiga,2015,41678,Diesel,Dealer,Manual,0,10.79
7.75,ertiga,2016,43000,Diesel,Dealer,Manual,0,10.79
3.25,wagon r,2015,35500,CNG,Dealer,Manual,0,5.09
2.65,sx4,2010,41442,Petrol,Dealer,Manual,0,7.98
2.85,alto k10,2016,25000,Petrol,Dealer,Manual,0,3.95
4.9,ignis,2017,2400,Petrol,Dealer,Manual,,5.71
4.4,sx4,2011,50000,Petrol,Dealer,Automatic,0,8.01
2.5,alto k10,2014,45280,Petrol,Dealer,Manual,0,3.46
2.9,wagon r,2013,56879,Petrol,Dealer,Manual,0,4.41
3,swift,2011,20000,Petrol,Dealer,Manual,0,4.99
4.15,swift,2013,55138,Petrol,Dealer,Manual,0,5.87
6,swift,2017,16200,Petrol,Individual,Manual,0,6.49
1.95,alto k10,2010,44542,Petrol,Dealer,Manual,0,3.95
7.45,ciaz,2015,45000,Diesel,Dealer,Manual,0,10.38
3.1,ritz,2012,51439,Diesel,Dealer,Manual,0,5.98
2.35,ritz,2011,54200,Petrol,Dealer,Manual,0,4.89
4.95,swift,2014,39000,Diesel,Dealer,Manual,0,7.49
6,ertiga,2014,45000,Diesel,Dealer,Manual,0,9.95
5.5,dzire,2014,45000,Diesel,Dealer,Manual,0,8.06
2.95,sx4,2011,49998,CNG,Dealer,Manual,0,7.74
4.65,dzire,2015,48767,Petrol,Dealer,Manual,0,7.2
0.35,800,2003,127000,Petrol,Individual,Manual,0,2.28
3,alto k10,2016,10079,Petrol,Dealer,Manual,0,3.76
2.25,sx4,2003,62000,Petrol,Dealer,Manual,0,7.98
5.85,baleno,2016,24524,Petrol,Dealer,Automatic,0,7.87
2.55,alto k10,2014,46706,Petrol,Dealer,Manual,0,3.98
1.95,sx4,2008,58000,Petrol,Dealer,Manual,0,7.15
5.5,dzire,2014,45780,Diesel,Dealer,Manual,0,8.06
1.25,omni,2012,50000,Petrol,Dealer,Manual,0,2.69
7.5,ciaz,2014,15000,Petrol,Dealer,Automatic,0,12.04
2.65,ritz,2013,64532,Petrol,Dealer,Manual,0,4.89
1.05,wagon r,2006,65000,Petrol,Dealer,Manual,0,4.15
5.8,ertiga,2015,25870,Petrol,Dealer,Manual,0,7.71
7.75,ciaz,2017,37000,Petrol,Dealer,Automatic,0,9.29
14.9,fortuner,2012,104707,Diesel,Dealer,Automatic,0,30.61
23,fortuner,2015,40000,Diesel,Dealer,Automatic,0,30.61
18,innova,2017,15000,Diesel,Dealer,Automatic,0,19.77
16,fortuner,2013,135000,Diesel,Individual,Automatic,0,30.61
2.75,innova,2005,90000,Petrol,Individual,Manual,0,10.21
3.6,corolla altis,2009,70000,Petrol,Dealer,Automatic,0,15.04
4.5,etios cross,2015,40534,Petrol,Dealer,Manual,0,7.27
4.75,corolla altis,2010,50000,Petrol,Dealer,Manual,0,18.54
4.1,etios g,2014,39485,Petrol,Dealer,Manual,1,6.8
19.99,fortuner,2014,41000,Diesel,Dealer,Automatic,0,35.96
6.95,corolla altis,2013,40001,Petrol,Dealer,Manual,0,18.61
4.5,etios cross,2015,40588,Petrol,Dealer,Manual,0,7.7
18.75,fortuner,2014,78000,Diesel,Dealer,Automatic,0,35.96
23.5,fortuner,2015,47000,Diesel,Dealer,Automatic,0,35.96
33,fortuner,2017,6000,Diesel,Dealer,Automatic,0,36.23
4.75,etios liva,2014,45000,Diesel,Dealer,Manual,0,6.95
19.75,innova,2017,11000,Petrol,Dealer,Automatic,0,23.15
9.25,fortuner,2010,59000,Diesel,Dealer,Manual,0,20.45
4.35,corolla altis,2011,88000,Petrol,Dealer,Manual,0,13.74
14.25,corolla altis,2016,12000,Petrol,Dealer,Manual,0,20.91
3.95,etios liva,2014,71000,Diesel,Dealer,Manual,0,6.76
4.5,corolla altis,2011,45000,Diesel,Dealer,Manual,,12.48
7.45,corolla altis,2013,56001,Petrol,Dealer,Manual,0,18.61
2.65,etios liva,2011,43000,Petrol,Dealer,Manual,0,5.71
4.9,etios cross,2014,83000,Diesel,Dealer,Manual,0,8.93
3.95,etios g,2015,36000,Petrol,Dealer,Manual,0,6.8
5.5,corolla altis,2013,72000,Petrol,Dealer,Manual,0,14.68
1.5,corolla,2004,135154,Petrol,Dealer,Automatic,0,12.35
5.25,corolla altis,2010,80000,Petrol,Dealer,Automatic,0,22.83
